"{113VdSwhq9kDhdQhKDNjUirudSHoJAZAR9}\t"	[1, 7126.886]
"{167iwrmvKKzH4Hv2g1sFfY5Ga8YCNAgdwf}\t"	[98, 19172.6721969]
"{168j85Y1XfrRWuSCYPtPcn2z1JndvB3LGM}\t"	[99, 6238.58917559]
"{169EyAqm8bYdz2QrkUpt9rJi7L1bVD7wjo}\t"	[100, 4308.98873142]
"{169qqZTfr4LZ3YmsqrCLevxBcDa8VbJDuB}\t"	[101, 4190.14361589]
"{16CGReKCS6koJaXxFHiYGFCd2WHRsgizTK}\t"	[102, 6539.1293362]
"{16DNNJzA4FX5f3so2qpcotc2xQv8DGhQV7}\t"	[103, 5633.17]
"{16GVabHvHymVi2N8V6FE3yiA3X6XhoaheF}\t"	[104, 11497.04238631]
"{16HQ515Y32pvDVsafrdwnq7GzLB21Hfr6e}\t"	[105, 6141.23490172]
"{16HeTk3k2RYQ9NFcfRCahr4V3XM8oonp4B}\t"	[106, 34239.9957]
"{16JYg1egMLAeibjxNCfdtKU9ENKFgksioJ}\t"	[107, 5000.0]
"{16KvCacFqUFkVWGrab3u5VfywvfpYNX1L2}\t"	[108, 6108.8358011]
"{16LfH8e3NyGcVctkuSmv6USBEmWhmBTbsg}\t"	[109, 5022.84877736]
"{16M3aTQgQgPWgzdcCiPqxr91gY7VMHGqBQ}\t"	[110, 5786.8525574]
"{16NExHrhwnmUse2q2Hg9AjXqTRHWv2MhQt}\t"	[111, 30367.97]
"{16NrJw93wv7RKyxC38FehbeJY4qgkQ9Zif}\t"	[112, 43037.79]
"{16PaFeAVhGrrzxBNiTkEpCQ3o2omJ5vTDJ}\t"	[113, 4125.0]
"{16QrX3j1Y94Ef1MAPfVdsKB6uUAji93HRw}\t"	[114, 4764.06822262]
"{16TaJ83x69hTKAn4YYVgQihM2mMH5fMXEd}\t"	[115, 15000.0]
"{16Vvt3DvRNgnE4bs7NJJVJRmGUxBWZbhXT}\t"	[116, 6504.64288276]
"{16WFX5icwAWcGdYZFDhubkmw2YT2CGVQGW}\t"	[117, 4748.5165465]
"{16XVAegPpNrRudpnvGF22KX5yGNRr94S7V}\t"	[118, 4114.91969777]
"{16YPdgv6Nt9pGNEqukR2sxvgtjQdspb8a5}\t"	[119, 4668.19074341]
"{16YfiDVXJigL5JgKnwxh697wLYgeNZ5wHZ}\t"	[120, 4901.61355441]
"{16YwhBLRC3F4zf55vXL4R8zi2KE5jGi6p6}\t"	[121, 4445.6234612]
"{16Z66E5HYUGQAGja9fG4NR7w8Yim7t64N4}\t"	[122, 11549.22307692]
"{16ZrbKDmbaWWBAsKgKHesoirYvoNr7nfXs}\t"	[123, 4668.53352959]
"{16bS1TE4imSdGW24GtJngYh4GdFQXPFbmf}\t"	[124, 9892.96]
"{16bjEtGbFMFvDUaLCzwzpGkP83D57NLiQR}\t"	[125, 4232.1609]
"{16cTyJLWbXQz3UZ3sYjy6A6VGX4sAqiEo1}\t"	[126, 28156.51296529]
"{16d7oDt6f6ad8bURAQGA7nrxBUbLQb7HH}\t"	[127, 5000.0]
"{16dWYcXdy9MgfN6QP6vCR58CidFBApo5hu}\t"	[128, 27716.41494501]
"{16dcjTS7TrpUeKzHyHVnDqUfLRDvQEF8D1}\t"	[129, 4440.16462024]
"{16f7Kt9nLX6NZFfWwG7WdvMedUMjRwu1Ef}\t"	[130, 8953.87217795]
"{16g5k7Dx5gqCsNdbfbRntXUnxGhDCpXwKU}\t"	[131, 5000.0]
"{16kpqZwsbv4BCi4ymx326DKPpsa7VpcQ3v}\t"	[132, 5000.0]
"{16mtwE86gFF5VgvNz3z8iAs3siRwUzkbsa}\t"	[133, 5700.0]
"{16nYRKcVvmeV1Rkc9c4n1ePL8TfHgDkahX}\t"	[134, 6134.06812254]
"{16pb2zFL1J5poYhoDpMYUwwEv7EEcrheQi}\t"	[135, 4618.9997]
"{16ptRFkCREiaRun2Ckm6Nvt3Zp8yeXq89u}\t"	[136, 5000.0]
"{16ptni6v4XagHCDkiEyWP3xMsVMhfGaCCR}\t"	[137, 4851.94558426]
"{16q39v794wVTpUb8sre8TEDizGeJR1X5Mx}\t"	[138, 4556.64646649]
"{16qfi8FPHbrH1THg8HpiHGBUKQzFLbGPM5}\t"	[139, 6038.53492162]
"{16rL3RNZ9qUc7K4bq3geLzV2bse648DDyc}\t"	[140, 5000.0]
"{16rRCLrmTa6Be8wQF7UkX5m765WqpuZjYn}\t"	[141, 5000.0]
"{16rfUGQTa5WnigGjKqUAz7M8LdroRzMAU2}\t"	[142, 21900.98]
"{16sBnXUx3QbeXWJryWxL5WY8narZS1Sh7C}\t"	[143, 5000.0]
"{16sHGagHDZFxBQ2Y1utEh61sFXmmGXW6HV}\t"	[144, 4150.61487312]
"{16sS74XJ5p3FSrZZCYnoN3s2ys8mjR8qFY}\t"	[145, 5000.0]
"{16tCUWGG77ETotUAddvaj3nURCv4caQhxz}\t"	[146, 12246.98937268]
"{16u5FTWCuwyo9HFyBcfy34poYer8VLrena}\t"	[147, 4470.0]
"{16u7CcnPYQkfUe4fERLLU3NqSaJhUjokHN}\t"	[148, 5203.27720845]
"{16v8R4iBjnsuF5kxwqXcq6cjpKN1zQuBzy}\t"	[149, 6400.0]
"{16w7BSTPry2qCpwLTToaqMCFASsSF1Utgc}\t"	[150, 4040.0]
"{16xKFyJwmnHKgV7jaFEuyzaVQakxs3CGyG}\t"	[151, 5045.23970466]
"{16y9foNh8EomrM8QSmBd4FNXZx7EJJFyp4}\t"	[152, 4357.9997]
"{16yAGSHBTVzMVJS6Em4TKekSgCQGEH9imY}\t"	[153, 4921.82604]
"{16yiA3FwMS8xKxxXq8m7sR9p1b5P6FWDyP}\t"	[154, 10666.65685393]
"{16zLjoCuMpLLW28MF7eSLNHGHszcRKEH5y}\t"	[155, 5190.09384728]
"{16zSkA3LureqNfS7nvCK8NRpBo7MLbVu9b}\t"	[156, 44286.926]
"{1715LdsmdcczsCXEs6mKu6H1rSupYm4kRK}\t"	[157, 11643.01463578]
"{172L9158MVBT3D8TtGmXHkxTsn57JV6AHZ}\t"	[158, 4035.0]
"{172tUsVCBmbtfVhKZmpXj1DjyACghNCoV5}\t"	[159, 4199.9877]
"{173E7ixnSjYbdDdZPzKAyKUTaYtNseEa59}\t"	[160, 4330.0]
"{173bVQpvqQVaWJFqKAL1XisDtfqoma2z6b}\t"	[161, 5447.38903661]
"{173zzXniY8qievXyNx3i9sy8BJ5Qx4SzHt}\t"	[162, 5588.74170276]
"{175ZWFfdyKfJtj8Si3JQSaH7guJbW14SkU}\t"	[163, 13720.0983703]
"{176k5s8vpuJLpquPEVxZ7ncPy3WxETJKZB}\t"	[164, 4841.43213148]
"{177Phdu6qC5EEpTftLWNLUuR6Z1PdQRUx8}\t"	[165, 4183.5626704]
"{177aBFhQ61Wmy1yrjqpZrLfiTZfKioQWUZ}\t"	[166, 35436.975272]
"{178DxxVdL1nwWLwP3pheavPt8uy6k5kZXE}\t"	[167, 5033.01]
"{178KAkvCYhi9qjrBB47QvfqfCK2cv6XR9D}\t"	[168, 7097.27713586]
"{17AL6cDm8ZAYCeu6MPsdEkiVWz6eci2im9}\t"	[169, 27916.35250544]
"{17BtHR8Gkv3FJsuddCHHhXiQRg1okar4pu}\t"	[170, 6507.35045423]
"{17D8CZY3eZL9BVYUP5vS6DHWqMwAa7qbA7}\t"	[171, 5000.0]
"{17DtdyZHCwSjGq3RzhZgVsQe53Sw4uJX5i}\t"	[172, 7000.0]
"{17EGVx98t9SCnkDJyBVKRuc2bzA4NPtDJN}\t"	[173, 6095.86675141]
"{17F2JZkt8mvUNi26SyQyDyywwG58nBehzy}\t"	[174, 19730.3489113]
"{17FRHQLms9UUx8zbfS7y1viyBQCg48jES6}\t"	[175, 4049.99197]
"{17FVcyUb1VrY9cJBiHYFfzmLcyNwTN1HWm}\t"	[176, 9902.97041221]
"{17FZ9nXRAsikJ4XMFJvjwcP8u72J5h87BB}\t"	[177, 4213.95296074]
"{17G2pjfKvznmMrgJA1yJoEvYQDsMFkHhND}\t"	[178, 6000.0]
"{17Gg9VMPuReE7focGEhPAfVhTBzYU7L7U2}\t"	[179, 5000.0]
"{17HDCm3B5huu7Eys1RV1UUXkB3adhtrk1H}\t"	[180, 4990.69210027]
"{17HUFxLf9WSEx6hB4aHhixB1miCaPs3QjJ}\t"	[181, 6096.56832153]
"{17JQfKmZfWXTvzuoC1RkiFMQSkpTaF15NX}\t"	[182, 7622.81731302]
"{17KeQJhWAv1MtZtBvBNuqBrXwDeF3kKu5v}\t"	[183, 4410.31303371]
"{17MuVjKo5qyxqHk4Rvmip4cHDvR4oYaRt9}\t"	[184, 4204.10374329]
"{17NNyinLnaUsi9sQUZyzem1TpgodDe41NS}\t"	[185, 4607.21450075]
"{17Nh7T1GvBXmjD99XvrRtR5nakYSyYwLLP}\t"	[186, 9000.0]
"{17Rjvw5HKQvHAECdDVPRnHadNwdSqpT1X}\t"	[187, 4525.00191]
"{17RxpeYaLqKgiNQuURvWCezVRMA7thS6Xo}\t"	[188, 4669.52785]
"{17SdowWYLD2XKGy7dBh8vQupvZvMPW4FR3}\t"	[189, 5000.0]
"{17SkEw2md5avVNyYgj6RiXuQKNwkXaxFyQ}\t"	[190, 10000.0]
"{17TAkNdha5JGEMNE1GnsU5gNKwA9u8Y7pG}\t"	[191, 8865.35734835]
"{17UM2HmXycKb8XDadY7LRrGgSWhqh1bMvh}\t"	[192, 5449.68382082]
"{17UV2eoVMaCGNcK1RYVk4wZVECMyMvGAbM}\t"	[193, 4089.2884902]
"{17V7KNqkKc5rbE9xJgB4ux3ZvNGpXD1ZiM}\t"	[194, 6236.76016112]
"{17VFVqUMHDB8Fba5poSnsco8i935a8cDT4}\t"	[195, 4208.22600215]
"{17WFx2GQZUmh6Up2NDNCEDk3deYomdNCfk}\t"	[196, 10000.0]
"{17YHaqXYwoxBCTqg18X7t3HRmcX4bCGKnY}\t"	[197, 4610.0]
"{17YPfLceZcHKuUWvAbA4LNovY4Hm1WKyaj}\t"	[198, 5872.25457218]
"{17Ya1RMBQ5AhgVsyB7pqXYiV8BHxdeDQ1C}\t"	[199, 5038.4030431]
"{17ZeGYR1gCzNxZJcGxfS2XzTnA83B67y7y}\t"	[200, 4525.0]
"{17ZpeydQKPWSMAK62NESru98HXhegLR3iw}\t"	[201, 4625.75017925]
"{17aRwwSTwvqNKF2ZUgtcJspCankhphqQYB}\t"	[202, 4733.6509134]
"{17abSYoj9A7JJU5iqAGcPX74jzL9ELA6Ek}\t"	[203, 40000.0]
"{17d1L1HHkwrRjadgBPP74dX8ztgXu14fxW}\t"	[204, 6123.96054394]
"{17eSZivDJpuJp9TxezTXVxkgLbsr3XZM1i}\t"	[205, 8511.96]
"{17eWh5upM2WGdeywxzBoxehHqHqZxbjLdJ}\t"	[206, 58336.30131091]
"{17h7R4Y5FxeMi4sgApHGvfiucekWAEqygZ}\t"	[207, 4631.72405387]
"{17iEfZoDH14w1NspiYvwh24Sjp6hpq22SS}\t"	[1, 4869.72975272]
"{17jPuNip77VGTghmDZh2kNjpuhoGT2aJFQ}\t"	[2, 4573.69978214]
"{17nCTKd9VafE6eArxAZBoZ5k7o3h692FBv}\t"	[3, 6129.55676324]
"{17na83aXEao3jfXJXEN4uuvchgAjg1Mw1S}\t"	[4, 4999.0]
"{17o6qgN2gUEbZs6dSPFPnWN2o5hgUsDVs8}\t"	[5, 4911.9997]
"{17oEYoSCVBo5jeJf9VVYgnimihmbGPAWCo}\t"	[6, 6139.74037074]
"{17qTZg2XuGsJLjRxQtPKtC1igSELyRMsMo}\t"	[7, 5314.46029884]
"{17qqE7hPHD7C9p5KGsxU1JF97gw7bRJWHC}\t"	[8, 4432.70567606]
"{17r3wWfWEn2UfhVb1yTgqAK31ehG47Z4BK}\t"	[9, 6219.59530172]
"{17sMy9wTEaTxp7qaCQtsGZE7o1ytn8oXQo}\t"	[10, 5859.5592561]
"{17t2b7a644mgM1Hv62YoEJrbV6GoDDeDFR}\t"	[11, 21411.388808]
"{17t7EaJvzJvS1gspYU69Jmp12ug1bMCB76}\t"	[12, 4837.75302]
"{17tmb3CySrsM6brrYZGM6xykz6QJ9m5Nw2}\t"	[13, 5300.0]
"{17ujFEk7KCCpjnX41dC19arHLjeapK9jF9}\t"	[14, 4025.75223]
"{17uzfGDrgDcMmGgiY7cp8As4fGjQ15tJEy}\t"	[15, 4318.87683477]
"{17w5Uq2PV9d8taLVGDdW6kzPvAnCU8nYXn}\t"	[16, 6351.1839843]
"{17wT5zT43FqLQb5cTnQnENfef4VxkUEdEK}\t"	[17, 6081.46750862]
"{17xv3gpyzhZ6omyfRRwChimGnPRg7cLVKK}\t"	[18, 6429.19330568]
"{17ywZpKfMjNWxuJaTBhVbGXjmVnJy27FMt}\t"	[19, 5999.9999]
"{17zWC1wBSuhLZYg2syoRkRNEXTCiqRjhBH}\t"	[20, 10000.0]
"{17zqebx6gZooB6smMwyAKLQhAvg18HFZhC}\t"	[21, 10000.0]
"{17zwKUodHAZW9qvf654ruoRHxAintHnbqh}\t"	[22, 5000.0]
"{1819FrKhSVwcM1pAxmM8dQFyPU5BR628xW}\t"	[23, 4727.2793]
"{182CYUZ3ZzvvyRumbvBEtuYrqjerUAY1W3}\t"	[24, 4701.78384362]
"{182KVXvVwhZMiVoKVGc61ocgCqoGJCM7Na}\t"	[25, 4881.64833451]
"{182tGyiczhXSSCTciVujNRkkMw1zQxUVhp}\t"	[26, 18547.66867623]
"{184wu9LYeh8q73i9CHWNA8GR5CDZUMQeSw}\t"	[27, 38000.0]
"{184zzk3mMcDfTerWTW9GnkV4ZhNDwzZcjB}\t"	[28, 4921.69719]
"{185Rrpvo9NGn9FMccHsvtDNWPpMHkrZaDT}\t"	[29, 4350.0]
"{1885WBzcrgJ71SCfyKSVspHvVANW9ChX53}\t"	[30, 23093.84]
"{1899JACGp5u4y4um6kZ4nnGWNAdYNsoWWE}\t"	[31, 46396.157365]
"{189ivm7yVJrktRWE7KwcxrU27U3SMCh6mp}\t"	[32, 5000.0]
"{18CR26UtFR79r7K6B3A6qcEAAJC6mJKspk}\t"	[33, 5132.6910943]
"{18D1MPNkvH2MKSE3rRNdS5bNbi1ZSsp4j2}\t"	[34, 4096.18427423]
"{18FxZDPMTLuCSkHYB6eDRwW3q1NyNT3jib}\t"	[35, 4506.5758764]
"{18H2C9WqB1oBTE7DZzvnqRZfynFdT7jxqT}\t"	[36, 5000.0]
"{18He3NJuDK4n7aFXpLq99vQjCKTqGukaga}\t"	[37, 8000.0]
"{18JwhFPCesku6K9U7Vk7uwzbYeMEVQbHsB}\t"	[38, 7478.1003819]
"{18KedsywTjGhiA29WCtFy6UvY7kNNmwdfD}\t"	[39, 11313.85766149]
"{18LhTq28WbPtPp1zvKjtJPdRh6st9ZixNF}\t"	[40, 4186.7978334]
"{18LmNpCahmQHkTQfu3ZR6y4TUqrtFpHBWc}\t"	[41, 4728.46876837]
"{18PaFPevrfUcvvhwAfh9tJc7B7UWqrJ1na}\t"	[42, 5275.127]
"{18QKupeGgvKgCUnwueFb6AYqGJ2SHsYGc7}\t"	[43, 4245.0]
"{18RCD3VuP9Xx7H7BX6KsSsVvVHW7i5ESXL}\t"	[44, 28626.241654]
"{18RWRnCgqmuTXqFaxG9r146HpgR2tHtrEK}\t"	[45, 4808.0]
"{18RxH34hacAg3zimXreozxhVco4pvJaRaJ}\t"	[46, 8622.9217668]
"{18S5WfxWDakF5pwnrakgiCdGSbLDxy3HfZ}\t"	[47, 5000.0]
"{18ShHDufPcxfNZr4rArogTUCF2GmkJiSCV}\t"	[48, 7372.0]
"{18TRMdmUcwgz8sEa8TuV79gAaikhb4hZg3}\t"	[49, 5000.0]
"{18UkAbDJEDg3RWk8nMpCm4JqV6mmj2JJVt}\t"	[50, 8689.27246768]
"{18VaBESPmAwkG1U2R3JKchUeW3Gub2a1hX}\t"	[51, 4610.51736949]
"{18WEpkJGvhasAKTLNAPsiQrTEtJxy2wHse}\t"	[52, 6223.01777045]
"{18WxYRENJ6JbufMn2yReuCWyDYMHCqvMPm}\t"	[53, 4570.9997]
"{18XjvnFh279cgWkss26G3pHA8kVAKUsmm7}\t"	[54, 5352.9996]
"{18Y6qgRr3X34SavAqfQ8CNQZGGDjrUdrpC}\t"	[55, 4999.0]
"{18Y8RM9TxunRLmw5MMD4mzY8Q9cYdPivm6}\t"	[56, 10000.0]
"{18ZChD6SHPDfzGbpjgpSLad28HrpS8qWC}\t"	[57, 5376.68690106]
"{18ZChqRsb7eKgH8wLg9Pfkkezux34pf6eo}\t"	[58, 5777.0]
"{18aMURZ9daF5cEPhWd7nh2jcmzSU1f12mc}\t"	[59, 10000.0]
"{18bDf7qu6DwkSBPf3bpJUZdacH5cHAv7mJ}\t"	[60, 4008.7915]
"{18dWKaEHg9JK3HSkiyyBijWWv6NpX3JV72}\t"	[61, 5000.0]
"{18dbU1N8eQ4E9n2CVXw7FbZ3qhHB6GDJUV}\t"	[62, 4114.79083473]
"{18eMa6xuw7Q2HeY6cMxPpkQ5TJSwB29J23}\t"	[63, 4241.9999]
"{18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp}\t"	[64, 6000.0]
"{18fJougi7Pd8hesZtsXswjXFiFffDm5bD4}\t"	[65, 5000.0]
"{18fXLrqFqPxu6BMnqi5QMWdPRcsG8XaGBi}\t"	[66, 19000.0]
"{18hGmCd8EaG5SDosEaHaZk2Vn5hTagdVHc}\t"	[67, 9155.84837758]
"{18hSQqfSm4wDUVKKdnH9nqiabdh8rafUKj}\t"	[68, 10840.3575]
"{18jgYXTmmDCiQhNz9NDUbvEr63DjSBmagu}\t"	[69, 5850.0]
"{18k36TNi1qYDv44KqfZ6ofokEMJYzmQgbZ}\t"	[70, 49167.25]
"{18kBanvRoiY3CDo3VegnNv4qR6aEKUaYbk}\t"	[71, 10000.0]
"{18nFnDPFbFWLNw8rkKDJGGvBawWYd6HER}\t"	[72, 4216.23491376]
"{18pKfqg26MhTG12ChiJwgqy9wszYzxhMYu}\t"	[73, 8000.0]
"{18qAdmvTCUTSz8E2mZJwKBzJucqaZGpDWP}\t"	[74, 4200.39436696]
"{18qaYhGsfbzTUKqTfs4Ye7Fiwm1aJfDALX}\t"	[75, 8743.28546626]
"{18tRnpWWrHmYQ5ff58NUBwKfzrqEkBWwuL}\t"	[76, 6110.57243403]
"{18uwYZbikvpMiw96iJRpzr36oPSNa7G6d2}\t"	[77, 8175.44947391]
"{18vCYQ4mWe3crxNVVwZ7oh1ukehJ9ERqJM}\t"	[78, 10000.0]
"{18vEUiYthd6avwk3sX9apMKjP54QoZb1YF}\t"	[79, 4942.02079232]
"{18vizpEc8z6KYSqyZ5C3UUZGVjvP3fRDH2}\t"	[80, 5196.37596545]
"{18wN1fJJdk4ia8btTNpExHu3Zh8GEA2azM}\t"	[81, 5943.10082058]
"{18wducgoa3X2oWayyzxJHhqCtLL2LEuiqN}\t"	[82, 5501.66011798]
"{18wiEBKCJoDtnHr6u8zm3GdE3hv61AhHWq}\t"	[83, 6500.0]
"{18woUMgsMWzomSvYxu5yNZHahuhdEsgkp4}\t"	[84, 11499.948095]
"{18xSYWboRFbSV3dPHXcd5QWwhFer3r8pfS}\t"	[85, 4390.0]
"{18xmuCtpGLszbBdwopNupF4sRrDG68CEV7}\t"	[86, 5300.0]
"{18ywk3t8XFtkEqMJt8hPG14D3gzTshB4YW}\t"	[87, 9751.0]
"{1912dTRENGVY39jGxj66LB8g9hzowzLw38}\t"	[88, 5000.0]
"{191ozkpak8A4kJMD14Kqjp8wVJKDULxiiH}\t"	[89, 23139.6171462]
"{192AfZMBi25BE3Vhtgb78W5Ssv84bTUvGn}\t"	[90, 4743.63702]
"{193JdQjenoggnp3T84EHXwoRcKemfD8gar}\t"	[91, 6132.55262254]
"{193Kc2Qq7DNm6rLTUtZCbUc58iyT9Ydmjp}\t"	[92, 44134.1344733]
"{194UU2RxAV7wZJ3bUTpQ8TeRReUSASrHU6}\t"	[93, 10000.0]
"{194fgHSBd7cNBa5svxH2Km9qCaJFbjrcZu}\t"	[94, 5035.4687707]
"{194sPmnVjEYsKPQEQLgr4hNWcCnPmw7uQY}\t"	[95, 4710.0]
"{195FNR32VmXx5gMvj49wuGaHu7HtxUNWnA}\t"	[96, 22000.0]
"{195KD7htnuvhinD88QymHRnvvWcSZsJe4n}\t"	[97, 20431.102881]
"{195bGFQtiwWjLnFPeJnuhWFA5XZ5j3WsmC}\t"	[98, 4329.8338]
"{195xowjw22hG2y3Vetu1WQqFqDpP4dDRHX}\t"	[99, 50000.0]
"{1972mCbNNe5buArX2yREZzeHipzDoKyPMV}\t"	[100, 7971.13585367]
"{19C6dkQSWdSB1Nz4XhUdWYb3NX8igtDiyz}\t"	[101, 4830.0]
"{19DS5fSjYuP5amAbiWtxcFQdfqTsaVpbfw}\t"	[102, 4851.93328426]
"{19FggK6wXXJT2K2QoCHQYD1oiXzU9EYGe3}\t"	[103, 5000.0]
"{19FjZm47SU9NXXth56qkDd84QyJaEmPrzV}\t"	[104, 5067.46751675]
"{19FkhipC2hiTeg8QUEie4rG4uTTknGWBiH}\t"	[105, 10000.0]
"{19GFNGk2KCqTMtL95eQSNWKPCwJftizP74}\t"	[106, 6720.69922781]
"{19Gt9VKmmyMpMHEv6dkf8ddwmwddoSoJ8w}\t"	[107, 9999.9]
"{19H2efKGkKLdTJijPLrdnXryJzdTuJyt6D}\t"	[108, 19780.0]
"{19H9J5KtiCmg7tT6tDkESvJ2ZEmqCTa7AX}\t"	[109, 4125.12965813]
"{19JhqsmDqkG3cnpDWGr7KgFiE9v1cixagF}\t"	[110, 5970.11309451]
"{19KCcXYfKvzrAwW3eVfUbrmcgCZD9Nq3sx}\t"	[111, 6761.04921214]
"{19KGbU3tnzLcGf98NccRY3wZnndCCYgvM5}\t"	[112, 4105.377123]
"{19LeeKYAngpQyiL32FaQ64DNTmuaJkNhRD}\t"	[113, 7102.61388646]
"{19NDqqhZJGE5GL71xXHVrWAncvFpqGDpMx}\t"	[114, 6521.00291882]
"{19P7VrzuFc2xespVdfkudYmzW5WPWZQRXe}\t"	[115, 7871.2842819]
"{19R7kXzuhf5VXkqt6JVdJUpbJcYqMKTSLj}\t"	[116, 4281.84397013]
"{19TWUYmisyw4yg4jaH35AHUiqroMhx8bro}\t"	[117, 9999.0]
"{19TYtKqEvhN3AvnsWf8AMfdgfka893WCHp}\t"	[118, 5223.94799119]
"{19Tfuhr9oEw7k24LYo6bbRahCcxLvxXxjH}\t"	[119, 5080.0]
"{19UTMQjQuionvbNGUZDcWZyJMu4GdT74E8}\t"	[120, 4237.56317843]
"{19Up6acZUqdC9Pwt58Hm9k5TLV6jxYsZ3f}\t"	[121, 4738.85753941]
"{19VVxLV1NUZNdVEqtV5wLYrhqWBctvtEpK}\t"	[122, 6944.30159345]
"{19WZE9F5ecY9cv5sZgDAn3EWvjLaar5gnb}\t"	[123, 6231.94064318]
"{19XUMhrZYDZ4zhFpqFPFQLTbPWkV6mkTVN}\t"	[124, 4200.0]
"{19ZUb5C22dKKB4ENn2atWyYypSddn582mU}\t"	[125, 4926.32058091]
"{19ZXmtQWFqVCy7Q5rK5LV25RPFUhYRazYM}\t"	[126, 52218.33628671]
"{19Zmw5kMbkTjA7qRUdUEiwLqgRaMRRLDkh}\t"	[127, 38000.0]
"{19aELXhz6QvuNuWFH7YFtd3a4XToCDhiVL}\t"	[128, 7995.0]
"{19b7BR7YiaLivMVuvV6atAmyQpsiyA2bzD}\t"	[129, 4413.891213]
"{19cPqGoqGhLh23rYMX2yTw9dspPodFbnoC}\t"	[130, 6016.0922207]
"{19cm2JWtARPg4KHQY1gKgLBH6PBrPjgE2a}\t"	[131, 16426.6039799]
"{19cp4fhU3nDzLQvrYdW2JdhaR9gXDvFgJE}\t"	[132, 5837.33543218]
"{19cpvwiY13XVvWANCqCvcG65JNi74g8yQx}\t"	[133, 26996.59243361]
"{19dwbb7y3JzZjkyzfSVPxFhmc5GKDeSnGJ}\t"	[134, 4576.10933138]
"{19eJDWL3j3ABd17imWAZjmmPa6FGYGARL7}\t"	[135, 50000.0]
"{19fDK5P4QM2SXwBbTgaQZSXAWPPLkqWJ4W}\t"	[136, 6000.99999969]
"{19gLNNMwtnN2rJhQDR18Nq7pSL4MwHFTFQ}\t"	[137, 299999.97]
"{19gcFHwMWz1GqqfsJfDSexcwcJquvkfZ1F}\t"	[138, 5000.0]
"{19iw6tiiXznW3ZtcH8UAmVwJVNGy4xm1na}\t"	[139, 6717.68935519]
"{19j81X5mEHkqrAxoMXpuob1us9t3gwPYPx}\t"	[140, 5628.39204064]
"{19jWvdgxoCLeyqAfLKYGTJm3izVmfyWfLj}\t"	[141, 6056.7614576]
"{19jgDS6gPBvzsg9tQ9YpDkN3wFLnTKos2A}\t"	[142, 11486.799599]
"{19jhFYVM9t9h62ExexnKuyKo7q4uSJyTGq}\t"	[143, 4757.17304467]
"{19k33WqEgxYQyyRtJdedp9FApmnvhRov48}\t"	[144, 5000.0]
"{19kdtJDqfZHxCryQtwhcHrsCoz2rFr5nAe}\t"	[145, 10749.84669029]
"{19ktVRNsLhgM86cWnbLxVKhsPnYjvUgSzk}\t"	[146, 17799.23927341]
"{19mFdwNTy8iRgq7zEsrJ7LWvQyqr6bFsab}\t"	[147, 4665.5660466]
"{19nYWR5XoceYR37kb8Daf1RQeZvDrjj6eQ}\t"	[148, 6510.0]
"{19o6Ua2kaTrouoGgrFwXSQ5wH7W12dbM4Y}\t"	[149, 6502.50499276]
"{19p9H8VoMKdDSTeQLKhK1KzvemYKmBJxvi}\t"	[150, 6000.0]
"{19qHjX9877fy1J7iHEhf77NSmzEftcAtNF}\t"	[151, 9000.0]
"{19rTErzBS8P6Qs3Mn3rPNjtgT2qarkXqA3}\t"	[152, 10000.0]
"{19sAfir1UHgu3HXnvYvzjpwswGWRfGR8Lt}\t"	[153, 7647.68579065]
"{19t7WpE7jM3APXAEw8yxhw33Gf1sGn171X}\t"	[154, 4998.75]
"{19tQiZotH2VFuokQXSjWefsJbrqFFoc5Z1}\t"	[155, 6500.0]
"{19v144KtZzUhkxQEz8JjGTuMABfYW5d8nP}\t"	[156, 4070.0]
"{19v5E6sbijcPUgWPc98ZQ42rAC6D1p7j7m}\t"	[157, 4122.9753748]
"{19vWUsLH7G6yQH484r3n1GodLEoLivWHJg}\t"	[158, 5000.0]
"{19wTGAZBXy1T3KmyKDvMJU75NVwgTLdKWZ}\t"	[159, 6107.43717281]
"{19xcqYNAQQFPok5iXi8ML18WANKcxbi3MQ}\t"	[160, 4113.35538172]
"{19yhy9euNKAsVAQvNkX8Sm2DGyuyHFfbQy}\t"	[161, 5769.16789228]
"{19z1M2sDxotLSfPtSggf7eerQQDF6xEoET}\t"	[162, 4828.9997]
"{19z4q8Q4S1kdPmFusu9hD7ibP4hm6S7oYE}\t"	[163, 6150.42751005]
"{1A18JNZoJqs5K5d4tK7gajcGDU325fnS8Y}\t"	[164, 4115.0]
"{1A1FAyxQBr67AvhbZSGp3vqUkgJA8ziT5P}\t"	[165, 4694.64757752]
"{1A1e4BSk5MuENMNGVHVbTii27t5VepnAJe}\t"	[166, 45225.554247]
"{1A22j9BCBnig6wzkEPW9D6RJW4AFfCf7S6}\t"	[167, 8626.90789248]
"{1A2myenYt4UzqNSdonHzsNPw84ZTjGqATN}\t"	[168, 33739.9956]
"{1A373e9BMG2zRCC3n7kmzCUR4BzDt7MEtR}\t"	[169, 4711.38]
"{1A3CYtbXjTesH2BDQpc7NBxDESB2LLnfMu}\t"	[170, 4515.0]
"{1A4R84ViUUtZyZGeu7wFVd7HNC9scgHfK6}\t"	[171, 43569.409]
